TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,11958,S2,9, 64.22,    .00,  22.22,  66.67,  11.11,    .00,    .00,    .00, 100.00,    .00,    .00
201213,11960,S2,15, 56.33,  13.33,  20.00,  20.00,  26.67,    .00,   6.67,  13.33,    .00, 100.00,    .00
201213,11964,S2,18, 70.89,  38.89,  22.22,  11.11,  22.22,    .00,   5.56,    .00,    .00,    .00,    .00
201213,11965,S1,16, 66.38,  18.75,  25.00,  25.00,  25.00,   6.25,    .00,    .00,    .00,    .00,    .00
201213,11966,S2,14, 68.07,   7.14,  50.00,  21.43,  14.29,   7.14,    .00,    .00, 100.00,    .00,    .00
201213,11967,S2,11, 65.73,  18.18,  18.18,  18.18,  45.45,    .00,    .00,    .00, 100.00,    .00,    .00
201213,11968,S2,13, 59.85,   7.69,  15.38,  38.46,  23.08,   7.69,    .00,   7.69,    .00,    .00,    .00
201213,11970,S1,16, 58.00,  12.50,  25.00,  12.50,  18.75,  18.75,   6.25,   6.25,    .00,    .00,    .00
201213,11973,S1,26, 82.62,  69.23,  19.23,   7.69,   3.85,    .00,    .00,    .00,    .00,    .00,    .00
201213,11974,NS,1, 61.00,    .00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00,    .00,    .00
201213,11976,S2,21, 59.33,  14.29,   9.52,  23.81,  33.33,   4.76,  14.29,    .00, 100.00,    .00,    .00
