TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,20622,S1,13,  60.46,   7.69,  15.38,  61.54,    .00,   7.69,    .00,   7.69,    .00, 100.00,    .00
201314,20709,S1,22,  58.36,   4.55,  13.64,  13.64,  68.18,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20878,S1,2,  58.00,    .00,    .00,  50.00,  50.00,    .00,    .00,    .00, 100.00,    .00,    .00
201314,20883,S1,2,  50.00,    .00,    .00,    .00,  50.00,  50.00,    .00,    .00, 100.00,    .00,    .00
201314,20943,T1,2,  63.00,    .00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00,  70.00,  30.00
201314,21524,1,28,  68.21,   7.14,  42.86,  35.71,  14.29,    .00,    .00,    .00,    .00,    .00,    .00
201314,21531,S1,264,  58.22,   1.52,  13.26,  37.88,  31.44,   9.47,   4.55,   1.89,    .00, 100.00,    .00
201314,21533,S1,66,  67.68,   7.58,  22.73,  66.67,   3.03,    .00,    .00,    .00,    .00,  85.00,  15.00
201314,21540,S1,75,  58.83,   1.33,  12.00,  38.67,  40.00,   5.33,    .00,   2.67,    .00, 100.00,    .00
201314,21541,S1,42,  60.83,    .00,  14.29,  59.52,  19.05,    .00,   2.38,   4.76,    .00, 100.00,    .00
201314,21542,S1,20,  64.95,  15.00,  10.00,  35.00,  40.00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,21543,S1,100,  58.38,    .00,   3.00,  45.00,  41.00,  11.00,    .00,    .00,    .00, 100.00,    .00
201314,21554,S1,44,  54.55,   2.27,  11.36,  40.91,  25.00,   6.82,   2.27,  11.36,    .00,  90.00,  10.00
201314,21558,S1,9,  67.78,    .00,  33.33,  66.67,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,21560,S1,13,  60.15,    .00,   7.69,  69.23,  15.38,    .00,    .00,   7.69,    .00, 100.00,    .00
201314,21563,S1,14,  65.86,    .00,  14.29,  78.57,   7.14,    .00,    .00,    .00,    .00, 100.00,    .00
201314,21573,S1,10,  64.80,    .00,  30.00,  60.00,    .00,    .00,  10.00,    .00,  50.00,  50.00,    .00
